Datetime	Emma	Callum
2017-06-29 01:56	0	61
2017-06-29 01:56	0	61
2017-06-29 01:57	0	61
2017-06-29 01:58	0	61
2017-06-29 01:59	0	61
2017-06-29 01:59	0	60
2017-06-29 02:00	0	61
2017-06-29 02:01	0	61
2017-06-29 02:02	0	61
2017-06-29 02:02	0	61
2017-06-29 02:03	0	61
2017-06-29 02:04	0	61
2017-06-29 02:05	0	60
2017-06-29 02:05	0	61
2017-06-29 02:06	0	61
2017-06-29 02:07	0	61
2017-06-29 02:08	0	61
2017-06-29 02:08	0	60
2017-06-29 02:09	0	61
2017-06-29 02:10	0	61
2017-06-29 02:11	0	61
2017-06-29 02:11	0	61
2017-06-29 02:12	0	60
2017-06-29 02:13	0	60
2017-06-29 02:14	0	61
2017-06-29 02:14	0	61
2017-06-29 02:15	0	61
2017-06-29 02:16	0	61
2017-06-29 02:17	0	60
2017-06-29 02:17	0	61
2017-06-29 02:18	0	60
2017-06-29 02:19	0	61
2017-06-29 02:20	0	61
2017-06-29 02:20	0	61
2017-06-29 02:21	0	61
2017-06-29 02:22	0	61
2017-06-29 02:23	0	61
2017-06-29 02:23	0	60
2017-06-29 02:24	0	61
2017-06-29 02:25	0	61
2017-06-29 02:26	0	60
2017-06-29 02:26	0	60
2017-06-29 02:27	0	60
2017-06-29 02:28	0	60
2017-06-29 02:29	0	60
2017-06-29 02:29	0	60
2017-06-29 02:30	0	61
2017-06-29 02:31	0	61
2017-06-29 02:32	0	60
2017-06-29 02:32	0	60
2017-06-29 02:33	0	60
2017-06-29 02:34	0	60
2017-06-29 02:35	0	60
2017-06-29 02:35	0	60
2017-06-29 02:36	0	60
2017-06-29 02:37	0	60
2017-06-29 02:38	0	60
2017-06-29 02:38	0	60
2017-06-29 02:39	0	61
2017-06-29 02:40	0	60
2017-06-29 02:41	0	60
2017-06-29 02:41	0	61
2017-06-29 02:42	0	60
2017-06-29 02:43	0	61
2017-06-29 02:44	0	61
2017-06-29 02:45	0	61
2017-06-29 02:45	0	60
2017-06-29 02:46	0	61
2017-06-29 02:47	0	60
2017-06-29 02:48	0	61
2017-06-29 02:48	0	61
2017-06-29 02:49	0	61
2017-06-29 02:50	0	61
2017-06-29 02:51	0	61
2017-06-29 02:51	0	61
2017-06-29 02:52	0	61
2017-06-29 02:53	0	61
2017-06-29 02:54	0	61
2017-06-29 02:54	0	61
2017-06-29 02:55	0	61
2017-06-29 02:56	0	61
2017-06-29 02:57	0	61
2017-06-29 02:57	0	61
2017-06-29 02:58	0	60
2017-06-29 02:59	0	61
2017-06-29 03:00	0	60
2017-06-29 03:00	0	60
2017-06-29 03:01	0	61
2017-06-29 03:02	0	61
2017-06-29 03:03	0	61
2017-06-29 03:03	0	61
2017-06-29 03:04	0	61
2017-06-29 03:05	0	61
2017-06-29 03:06	0	61
2017-06-29 03:06	0	61
2017-06-29 03:07	0	61
2017-06-29 03:08	0	61
2017-06-29 03:09	0	61
2017-06-29 03:09	0	61
2017-06-29 03:10	0	61
2017-06-29 03:11	0	61
2017-06-29 03:12	0	61
2017-06-29 03:12	0	61
2017-06-29 03:13	0	61
2017-06-29 03:14	0	61
2017-06-29 03:15	0	61
2017-06-29 03:15	0	60
2017-06-29 03:16	0	61
2017-06-29 03:17	0	61
2017-06-29 03:18	0	61
2017-06-29 03:18	0	60
2017-06-29 03:19	0	61
2017-06-29 03:20	0	61
2017-06-29 03:21	0	61
2017-06-29 03:21	0	61
2017-06-29 03:22	0	61
2017-06-29 03:23	0	61
2017-06-29 03:24	0	61
2017-06-29 03:24	0	61
2017-06-29 03:25	0	61
2017-06-29 03:26	0	60
2017-06-29 03:27	0	61
2017-06-29 03:27	0	61
2017-06-29 03:28	0	60
2017-06-29 03:29	0	61
2017-06-29 03:30	0	61
2017-06-29 03:30	0	61
2017-06-29 03:31	0	61
2017-06-29 03:32	1	61
2017-06-29 03:33	0	61
2017-06-29 03:33	0	61
2017-06-29 03:34	0	61
2017-06-29 03:35	0	61
2017-06-29 03:36	0	61
2017-06-29 03:36	0	61
2017-06-29 03:37	0	61
2017-06-29 03:38	0	61
2017-06-29 03:39	0	60
2017-06-29 03:39	0	61
2017-06-29 03:40	0	61
2017-06-29 03:41	1	61
2017-06-29 03:42	0	61
2017-06-29 03:42	0	61
2017-06-29 03:43	0	61
2017-06-29 03:44	0	61
2017-06-29 03:45	0	61
2017-06-29 03:45	0	61
2017-06-29 03:46	0	61
2017-06-29 03:47	0	61
2017-06-29 03:48	0	61
2017-06-29 03:48	0	60
2017-06-29 03:49	0	61
2017-06-29 03:50	0	61
2017-06-29 03:51	0	61
2017-06-29 03:51	0	61
2017-06-29 03:52	0	61
2017-06-29 03:53	0	61
2017-06-29 03:54	0	61
2017-06-29 03:54	0	61
2017-06-29 03:55	0	61
2017-06-29 03:56	0	61
2017-06-29 03:57	0	61
2017-06-29 03:57	0	61
2017-06-29 03:58	0	61
2017-06-29 03:59	0	61
2017-06-29 04:00	0	61
2017-06-29 04:00	0	61
2017-06-29 04:01	0	61
2017-06-29 04:02	0	61
